Name	LATITUDE_S	LONGITUDE_	Length	AV_RGH_IRI	ALLVEHS_AA	TRUCKS_AAD	Name_2	LATITUDE_S_2	LONGITUDE__2	Length_2	AV_RGH_IRI_2	ALLVEHS_AA_2	TRUCKS_AAD_2	closestWindex	rainfall	Above_30_days	Above_37_5_days	dayspassed	ALLVEHS_AA_avg	TRUCKS_AAD_avg	IRI_increase
2000_R_1606_1707_19-01-2012_1	-38.019811	145.311079	101	1.285	48000	3200	2000_R_1600_1700_07-02-2014_1	-38.019834	145.311113	100	1.3	48000	3200	86224	1716.2	75	12	750	48000	3200	0.0150000000000001
2000_R_1908_2008_19-01-2012_1	-38.017852	145.308701	100	0.965	48000	3200	2000_R_1900_2000_07-02-2014_1	-38.017887	145.308746	100	1.085	48000	3200	86224	1716.2	75	12	750	48000	3200	0.12
2000_R_21590_21691_19-01-2012_1	-37.90024	145.150571	101	1.06	88000	10000	2000_R_21600_21700_07-02-2014_1	-37.900233	145.150572	100	1.07	88000	10000	86303	1837.5	75	12	750	88000	10000	0.01
2000_R_20486_20586_19-01-2012_1	-37.907673	145.158779	100	0.625	75000	8900	2000_R_20500_20600_07-02-2014_1	-37.907649	145.158747	100	0.78	75000	8900	86303	1837.5	75	12	750	75000	8900	0.155
2000_R_803_903_19-01-2012_1	-38.025034	145.317414	100	1.225	43000	3800	2000_R_800_900_07-02-2014_1	-38.025032	145.31742	100	1.275	43000	3800	86224	1716.2	75	12	750	43000	3800	0.0499999999999998
2000_R_26611_26712_19-01-2012_1	-37.885338	145.098795	101	0.865	88000	9500	2000_R_26600_26700_07-02-2014_1	-37.885356	145.098928	100	0.985	88000	9500	86088	1547.6	75	12	750	88000	9500	0.12
2000_R_26410_26511_19-01-2012_1	-37.885689	145.101036	101	1.145	88000	9500	2000_R_26400_26500_07-02-2014_1	-37.885697	145.101165	100	1.425	88000	9500	86088	1547.6	75	12	750	88000	9500	0.28
2000_R_25808_25908_19-01-2012_1	-37.886704	145.107752	100	0.995	88000	9500	2000_R_25800_25900_07-02-2014_1	-37.88672	145.107866	100	1.005	88000	9500	86088	1547.6	75	12	750	88000	9500	0.0099999999999999
2000_R_200_301_19-01-2012_1	-38.02922	145.321785	101	1.075	42000	3700	2000_R_200_300_07-02-2014_1	-38.029197	145.321767	100	1.175	42000	3700	86224	1716.2	75	12	750	42000	3700	0.1
2000_R_25406_25507_19-01-2012_1	-37.887865	145.112059	101	0.675	88000	9500	2000_R_25400_25500_07-02-2014_1	-37.8879	145.11215	100	0.685	88000	9500	86088	1547.6	75	12	750	88000	9500	0.01
2000_R_3916_4016_19-01-2012_1	-38.002863	145.296295	100	0.835	53000	3500	2000_R_3900_4000_07-02-2014_1	-38.002967	145.296432	100	0.91	53000	3500	86224	1716.2	75	12	750	53000	3500	0.0750000000000001
2000_R_401_502_19-01-2012_1	-38.027785	145.320382	101	1.685	43000	3800	2000_R_400_500_07-02-2014_1	-38.027766	145.3204	100	1.78	43000	3800	86224	1716.2	75	12	750	43000	3800	0.095
2000_R_2711_2811_19-01-2012_1	-38.01236	145.302764	100	1.225	53000	3500	2000_R_2700_2800_07-02-2014_1	-38.012435	145.302829	100	1.63	53000	3500	86224	1716.2	75	12	750	53000	3500	0.405
2000_R_20184_20285_19-01-2012_1	-37.909485	145.161318	101	0.94	75000	8900	2000_R_20200_20300_07-02-2014_1	-37.909457	145.161289	100	0.985	75000	8900	86303	1837.5	75	12	750	75000	8900	0.045
2000_R_20686_20787_19-01-2012_1	-37.90647	145.157085	101	0.955	75000	8900	2000_R_20700_20800_07-02-2014_1	-37.906445	145.157057	100	0.995	75000	8900	86303	1837.5	75	12	750	75000	8900	0.04
2000_R_22594_22695_19-01-2012_1	-37.894357	145.142365	101	0.755	89000	8500	2000_R_22600_22700_07-02-2014_1	-37.894364	145.142383	100	0.83	89000	8500	86303	1837.5	75	12	750	89000	8500	0.075
2000_R_23398_23498_19-01-2012_1	-37.893281	145.133342	100	1.135	90000	8700	2000_R_23400_23500_07-02-2014_1	-37.893288	145.133393	100	1.155	90000	8700	86088	1547.6	75	12	750	90000	8700	0.02
2000_R_1707_1807_19-01-2012_1	-38.019158	145.310287	100	1.27	48000	3200	2000_R_1700_1800_07-02-2014_1	-38.019186	145.310322	100	1.345	48000	3200	86224	1716.2	75	12	750	48000	3200	0.075
2000_R_15766_15866_19-01-2012_1	-37.938283	145.195787	100	1.8	76000	6400	2000_R_15800_15900_07-02-2014_1	-37.938173	145.195705	100	1.9	76000	6400	86111	1517.8	75	12	750	76000	6400	0.0999999999999999
2000_R_30327_30427_19-01-2012_1	-37.870471	145.064399	100	0.72	85000	9100	2000_R_30300_30400_07-02-2014_1	-37.870631	145.064499	100	0.795	85000	9100	86018	1500.4	75	12	750	85000	9100	0.0750000000000001
